"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"1","2020 Jan 01 12:28:15 AM","2020 Jan 01 12:33:03 AM","1","1,2","1","N","238","239","1","6","3","0,5","1,47","0","0,3","11,27","2,5"
"1","2020 Jan 01 12:35:39 AM","2020 Jan 01 12:43:04 AM","1","1,2","1","N","239","238","1","7","3","0,5","1,5","0","0,3","12,3","2,5"
"1","2020 Jan 01 12:47:41 AM","2020 Jan 01 12:53:52 AM","1","0,6","1","N","238","238","1","6","3","0,5","1","0","0,3","10,8","2,5"
"1","2020 Jan 01 12:55:23 AM","2020 Jan 01 01:00:14 AM","1","0,8","1","N","238","151","1","5,5","0,5","0,5","1,36","0","0,3","8,16","0"
"2","2020 Jan 01 12:01:58 AM","2020 Jan 01 12:04:16 AM","1","0","1","N","193","193","2","3,5","0,5","0,5","0","0","0,3","4,8","0"
"2","2020 Jan 01 12:09:44 AM","2020 Jan 01 12:10:37 AM","1","0,03","1","N","7","193","2","2,5","0,5","0,5","0","0","0,3","3,8","0"
"2","2020 Jan 01 12:39:25 AM","2020 Jan 01 12:39:29 AM","1","0","1","N","193","193","1","2,5","0,5","0,5","0,01","0","0,3","3,81","0"
"2","2019 Dec 18 03:27:49 PM","2019 Dec 18 03:28:59 PM","1","0","5","N","193","193","1","0,01","0","0","0","0","0,3","2,81","2,5"
