VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2020 12:35:37 AM,01/01/2020 12:45:49 AM,2,2.1,1,N,236,239,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,01/01/2020 12:48:54 AM,01/01/2020 01:12:05 AM,2,5,1,N,239,226,1,19,3,0.5,4.55,0,0.3,27.35,2.5
2,01/01/2020 12:07:49 AM,01/01/2020 12:12:54 AM,1,0.77,1,N,148,4,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,01/01/2020 12:19:34 AM,01/01/2020 12:27:21 AM,1,1.09,1,N,79,249,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,01/01/2020 12:33:46 AM,01/01/2020 12:52:09 AM,1,0.24,1,N,234,90,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,01/01/2020 12:29:02 AM,01/01/2020 12:35:51 AM,1,0.79,1,N,114,232,1,6,0.5,0.5,1,0,0.3,10.8,2.5
2,01/01/2020 12:48:10 AM,01/01/2020 01:13:41 AM,1,4.12,1,N,114,189,1,19,0.5,0.5,4.56,0,0.3,27.36,2.5
1,01/01/2020 12:30:01 AM,01/01/2020 12:39:06 AM,0,1.4,1,N,234,114,1,7.5,3,0.5,2.25,0,0.3,13.55,2.5
1,01/01/2020 12:40:50 AM,01/01/2020 12:50:05 AM,0,1.5,1,N,114,137,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,01/01/2020 12:54:17 AM,01/01/2020 01:08:08 AM,0,2.5,1,Y,137,144,2,11.5,3,0.5,0,0,0.3,15.3,2.5
1,01/01/2020 12:28:47 AM,01/01/2020 01:01:37 AM,2,3.7,1,N,107,143,1,20.5,3,0.5,5,0,0.3,29.3,2.5
1,01/01/2020 12:14:18 AM,01/01/2020 12:42:24 AM,1,2.2,1,N,113,161,2,17.5,3,0.5,0,0,0.3,21.3,2.5
