id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
0,muneca_escala,lopo,p1,0,cnn_baseline,0,0.9108391608391608,0.910680586524104,0.9101816077881941,0.9108391608391608,0.9495798319327731,2002,357,572,32.213551499997266,0.006250500038731843,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
1,muneca_escala,lopo,p1,0,mlp,0,0.9318181818181818,0.9320710663833155,0.9318502986568554,0.9318181818181818,0.9747899159663865,2002,357,572,61.732460500032175,0.003480800020042807,58.0,38.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
2,muneca_escala,lopo,p1,0,svm,0,0.9178321678321678,0.9181906230135035,0.9177552943752522,0.9178321678321678,0.9523809523809523,2002,357,572,0.3947327999630943,0.016684700036421418,,,cpu
3,muneca_escala,lopo,p1,0,logreg,0,0.8916083916083916,0.8912526478771533,0.8911640465321167,0.8916083916083916,0.927170868347339,2002,357,572,0.09737989999121055,0.0008585999603383243,,,cpu
4,muneca_escala,lopo,p2,1,cnn_baseline,0,0.9418803418803419,0.9408225329884315,0.939847788922647,0.9418803418803419,0.9378531073446328,1992,354,585,34.69102120003663,0.014283400028944016,28.0,8.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
5,muneca_escala,lopo,p2,1,mlp,0,0.9333333333333333,0.9327763037440456,0.9326998823070713,0.9333333333333333,0.9491525423728814,1992,354,585,48.55360619997373,0.0035590999759733677,44.0,24.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
6,muneca_escala,lopo,p2,1,svm,0,0.947008547008547,0.9462483195318484,0.9466675091086291,0.947008547008547,0.940677966101695,1992,354,585,0.31480709998868406,0.028652300010435283,,,cpu
7,muneca_escala,lopo,p2,1,logreg,0,0.8512820512820513,0.8499927766520003,0.850042452147187,0.8512820512820513,0.9322033898305084,1992,354,585,0.2840017999988049,0.0007556999917142093,,,cpu
8,muneca_escala,lopo,p3,2,cnn_baseline,0,0.9506802721088435,0.9503281995918226,0.9494875861299881,0.9506802721088435,0.9575070821529745,1990,353,588,39.13821689999895,0.0066627999767661095,30.0,10.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
9,muneca_escala,lopo,p3,2,mlp,0,0.9489795918367347,0.9486615329251559,0.9478207932879541,0.9489795918367347,0.9461756373937678,1990,353,588,67.05397880001692,0.003517200006172061,60.0,40.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
10,muneca_escala,lopo,p3,2,svm,0,0.9523809523809523,0.9520288798639314,0.9511457774589981,0.9523809523809523,0.9348441926345609,1990,353,588,0.4097176000359468,0.034485300013329834,,,cpu
