id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
0,muneca_escala_rot,lopo,p1,0,cnn_baseline,0,0.9213286713286714,0.9201549746728604,0.9210018333855378,0.9300699300699301,0.9439775910364145,8008,357,572,92.09144330001436,0.008550499973352998,21.0,1.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
1,muneca_escala_rot,lopo,p1,0,mlp,0,0.9458041958041958,0.945804601079583,0.9457018363644115,0.9562937062937062,0.9523809523809523,8008,357,572,179.87595329998294,0.0038497999776154757,46.0,26.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
2,muneca_escala_rot,lopo,p1,0,svm,0,0.9370629370629371,0.9371166992184151,0.9372535506976484,0.9405594405594405,0.9551820728291317,8008,357,572,1.2305790999671444,0.028366099984850734,,,cpu
3,muneca_escala_rot,lopo,p1,0,logreg,0,0.8933566433566433,0.8916393734615863,0.8918941153084275,0.9020979020979021,0.927170868347339,8008,357,572,0.2936605999711901,0.000525799987372011,,,cpu
4,muneca_escala_rot,lopo,p2,1,cnn_baseline,0,0.976068376068376,0.9753847449699985,0.9756580196900052,0.9777777777777777,0.9576271186440678,7968,354,585,118.37523679999867,0.005294299975503236,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
5,muneca_escala_rot,lopo,p2,1,mlp,0,0.9709401709401709,0.9701039599965915,0.9703191603259346,0.9794871794871794,0.9548022598870056,7968,354,585,403.63048490002984,0.0028664999990724027,106.0,86.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
6,muneca_escala_rot,lopo,p2,1,svm,0,0.9521367521367521,0.9511987938951215,0.9517927521729294,0.9487179487179487,0.9491525423728814,7968,354,585,1.3181512000155635,0.03604910004651174,,,cpu
7,muneca_escala_rot,lopo,p2,1,logreg,0,0.8974358974358975,0.8966061655856895,0.8957899602068876,0.8888888888888888,0.9011299435028248,7968,354,585,0.2622727999696508,0.0004751000087708235,,,cpu
8,muneca_escala_rot,lopo,p3,2,cnn_baseline,0,0.9778911564625851,0.9778196085265304,0.9777673323140686,0.9778911564625851,0.9603399433427762,7960,353,588,114.34015669999644,0.006552600010763854,26.0,6.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
9,muneca_escala_rot,lopo,p3,2,mlp,0,0.9761904761904762,0.9761013954681111,0.9760999991758893,0.9778911564625851,0.9660056657223796,7960,353,588,174.35428229998797,0.005226799985393882,44.0,24.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
10,muneca_escala_rot,lopo,p3,2,svm,0,0.9761904761904762,0.9761361068430289,0.9761076139091819,0.9744897959183674,0.9575070821529745,7960,353,588,1.433632900007069,0.03572110005188733,,,cpu
11,muneca_escala_rot,lopo,p3,2,logreg,0,0.9489795918367347,0.9486446979083208,0.9490505889668567,0.9489795918367347,0.8951841359773371,7960,353,588,0.2430047999951057,0.00047480000648647547,,,cpu
12,muneca_escala_rot,lopo,p4,3,cnn_baseline,0,0.9833055091819699,0.9832996632996633,0.9833201647814144,0.9766277128547579,0.9603399433427762,7916,353,599,119.45733039994957,0.005322800017893314,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
13,muneca_escala_rot,lopo,p4,3,mlp,0,0.9799666110183639,0.9799831649831651,0.9798975979261434,0.9833055091819699,0.9518413597733711,7916,353,599,118.89628610003274,0.00375139998504892,30.0,10.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
14,muneca_escala_rot,lopo,p4,3,svm,0,0.9816360601001669,0.9816498316498317,0.9816220817192286,0.9799666110183639,0.9490084985835694,7916,353,599,1.3016885000397451,0.034057100012432784,,,cpu
