normalizacion,protocolo,modelo,accuracy,accuracy_espejado,accuracy_std_pliegues,accuracy_min,balanced_accuracy,f1_macro,accuracy_std_semillas,n_pliegues,n_semillas,n_test,tiempo_entrenamiento_s,epocas,ic95_repo,dispersion
ninguna,lopo,cnn_baseline,0.9176609821707293,0.9189263644756656,0.05933884671771932,0.821976149914821,0.917309734074743,0.9153912744541506,0.007944075681458903,5,2,2931,146.69660695000783,33.3,0.009951582242529603,0.05933884671771932
ninguna,lopo,mlp,0.9218410734119807,0.9119711304523259,0.05386238468090124,0.8583916083916083,0.9212419015466757,0.919867783251396,0.005565676280781519,5,2,2931,263.07687149998964,66.4,0.009717744638874514,0.05386238468090124
ninguna,lopo,svm,0.8900078781463471,0.8695819979734498,0.0672181198906325,0.8126064735945485,0.8890214080172107,0.8868996033763793,0.006058059060192876,5,2,2931,1.790007259993581,,0.011327286302542622,0.0672181198906325
ninguna,lopo,logreg,0.9076839782747191,0.9081185855893967,0.03252219338044435,0.8697552447552448,0.9071736951280902,0.9067216839151186,0.000719431639917443,5,2,2931,0.27604007999179886,,0.01047982516394368,0.03252219338044435
muneca_escala_rot,lopo,cnn_baseline,0.9578014768763221,0.9591941977707801,0.025386646706310596,0.9293015332197616,0.9570717408370764,0.9572596611593731,0.005313462957363188,5,2,2931,109.77015638999873,25.8,0.00727837686680999,0.025386646706310596
muneca_escala_rot,lopo,mlp,0.961045549939086,0.962499964830181,0.023846415013581392,0.9318181818181818,0.9606824579426163,0.9607101289122353,0.005095430749331988,5,2,2931,110.13094860000419,30.2,0.00700484753403272,0.023846415013581392
muneca_escala_rot,lopo,svm,0.9463193897739671,0.9501449597044287,0.02639982535270043,0.9178321678321678,0.9458215575023534,0.9460203593009199,0.00506093357237593,5,2,2931,1.3497390300035477,,0.008159729344077948,0.02639982535270043
muneca_escala_rot,lopo,logreg,0.8876730426319199,0.8831513007934305,0.04752251174099986,0.8211243611584327,0.8852975634059608,0.8836636029818987,0.0033643442870297884,5,2,2931,0.28108902999665586,,0.011431854158418908,0.04752251174099986
