real,predicha,n,pct_de_la_clase_real
rock,thumbsup,36,3.789473684210526
thumbsup,rock,17,1.7241379310344827
ok,paper,16,1.6494845360824741
scissors,ok,16,1.6326530612244898
paper,ok,15,1.5182186234817814
scissors,rock,13,1.3265306122448979
ok,rock,12,1.2371134020618557
ok,scissors,12,1.2371134020618557
scissors,rockandroll,12,1.2244897959183674
rock,ok,11,1.1578947368421053
