clase,precision,recall,f1,soporte
ok,0.932475884244373,0.8969072164948454,0.9143457698370994,970
paper,0.9250749250749251,0.937246963562753,0.9311211664152841,988
rock,0.8775510204081632,0.9505263157894737,0.9125821121778676,950
rockandroll,0.9597457627118644,0.917004048582996,0.937888198757764,988
scissors,0.9542790152403282,0.8306122448979592,0.8881614839061648,980
thumbsup,0.8729582577132486,0.9756592292089249,0.921455938697318,986
