real,predicha,n,pct_de_la_clase_real
scissors,thumbsup,78,7.959183673469388
scissors,rock,69,7.040816326530612
ok,paper,61,6.288659793814433
paper,ok,46,4.65587044534413
rockandroll,thumbsup,39,3.9473684210526314
rock,thumbsup,23,2.4210526315789473
rockandroll,rock,23,2.327935222672065
rock,scissors,17,1.7894736842105263
thumbsup,rock,15,1.5212981744421907
ok,rock,14,1.443298969072165
