real,predicha,n,pct_de_la_clase_real
thumbsup,rock,26,2.636916835699797
rock,thumbsup,23,2.4210526315789473
scissors,ok,17,1.7346938775510203
scissors,thumbsup,16,1.6326530612244898
ok,paper,15,1.5463917525773196
ok,scissors,14,1.443298969072165
scissors,paper,13,1.3265306122448979
paper,ok,13,1.3157894736842106
rock,ok,10,1.0526315789473684
scissors,rock,9,0.9183673469387755
