normalizacion,protocolo,modelo,pliegue,accuracy,accuracy_espejado,balanced_accuracy,f1_macro,accuracy_std_sem,n_semillas,n_test,tiempo,epocas
muneca_escala_rot,lopo,cnn_baseline,p1,0.9318181818181819,0.9300699300699302,0.9313600416818684,0.931594590429455,0.0024724013328201694,2,572,116.1741093500168,26.0
muneca_escala_rot,lopo,cnn_baseline,p2,0.9683760683760685,0.9769230769230768,0.9675958913729117,0.9679515767583549,0.010878565864408267,2,585,115.18546350000543,26.0
muneca_escala_rot,lopo,cnn_baseline,p3,0.9770408163265305,0.9804421768707483,0.976960501997321,0.9769490957197812,0.006012812765191816,2,588,111.08047149999766,25.0
muneca_escala_rot,lopo,cnn_baseline,p4,0.9824707846410684,0.9741235392320534,0.9824494949494951,0.9823626689294341,0.0011804787665887124,2,599,121.56060054997214,30.0
muneca_escala_rot,lopo,cnn_baseline,p5,0.9293015332197616,0.934412265758092,0.9269927741837856,0.92744037395984,0.006023056057806975,2,587,84.85013705000165,22.0
muneca_escala_rot,lopo,logreg,p1,0.8802447552447552,0.888986013986014,0.8786970669171257,0.8794392126130051,0.001236200666410026,2,572,0.2752112500311341,
muneca_escala_rot,lopo,logreg,p2,0.8897435897435897,0.847008547008547,0.8891970740253319,0.8878205026631298,0.0012087295404898206,2,585,0.2721202499815263,
muneca_escala_rot,lopo,logreg,p3,0.9549319727891157,0.9421768707482994,0.9546584436127881,0.9549673226719212,0.0036076876591149636,2,588,0.2945376500138081,
muneca_escala_rot,lopo,logreg,p4,0.8923205342237062,0.8781302170283807,0.8921380471380471,0.8920120855901452,0.003541436299765666,2,599,0.27057364996289834,
muneca_escala_rot,lopo,logreg,p5,0.8211243611584327,0.8594548551959114,0.8117971853365111,0.8040788913712917,0.007227667269368464,2,587,0.2930023499939125,
muneca_escala_rot,lopo,mlp,p1,0.9318181818181818,0.9466783216783217,0.931402028606389,0.9318102105464441,0.009889605331280363,2,572,100.24874190002447,25.0
muneca_escala_rot,lopo,mlp,p2,0.9777777777777776,0.9752136752136753,0.9770854252421074,0.9773593433570663,0.0,2,585,136.09511355002178,36.5
muneca_escala_rot,lopo,mlp,p3,0.9744897959183674,0.9736394557823129,0.9744178937846096,0.9744078180174158,0.0,2,588,127.96470805001445,33.0
muneca_escala_rot,lopo,mlp,p4,0.9824707846410684,0.9782971619365608,0.982483164983165,0.982328251414641,0.0035414362997655095,2,599,100.32194719999097,30.5
muneca_escala_rot,lopo,mlp,p5,0.938671209540034,0.938671209540034,0.938023777096811,0.9376450212256094,0.012046112115614066,2,587,86.0242322999693,26.0
muneca_escala_rot,lopo,svm,p1,0.9178321678321678,0.9326923076923077,0.917451260373784,0.9178704046348642,0.0024724013328201303,2,572,1.2914010499953292,
muneca_escala_rot,lopo,svm,p2,0.9435897435897436,0.9478632478632478,0.9424349817557334,0.9430135250575413,0.012087295404898165,2,585,1.4126595499983523,
muneca_escala_rot,lopo,svm,p3,0.967687074829932,0.9710884353741496,0.9675965879426852,0.967516622243321,0.0,2,588,1.5298943000088912,
muneca_escala_rot,lopo,svm,p4,0.9782971619365608,0.978297161936561,0.9782912457912458,0.9782873258745628,0.004721915066354222,2,599,1.323064099997282,
muneca_escala_rot,lopo,svm,p5,0.9241908006814311,0.9207836456558773,0.9233337116483185,0.9234139186943104,0.006023056057807132,2,587,1.1916761500178836,
ninguna,lopo,cnn_baseline,p1,0.8986013986013986,0.8802447552447552,0.8981133197495101,0.8978682138434491,0.0,2,572,137.85708335001254,31.5
ninguna,lopo,cnn_baseline,p2,0.9521367521367522,0.935042735042735,0.9513678478885852,0.9514029819025092,0.0048349181619592825,2,585,144.76956894999603,33.0
ninguna,lopo,cnn_baseline,p3,0.9489795918367347,0.9455782312925171,0.9486699504335734,0.9478745394323644,0.0,2,588,172.30108095001196,39.0
ninguna,lopo,cnn_baseline,p4,0.9666110183639398,0.9649415692821368,0.9666414141414141,0.9665802412561688,0.002360957533177111,2,599,139.8430793500156,31.5
ninguna,lopo,cnn_baseline,p5,0.821976149914821,0.868824531516184,0.8217561381606326,0.8132303958362617,0.03252450271215813,2,587,138.71222215000307,31.5
ninguna,lopo,logreg,p1,0.8697552447552448,0.8583916083916083,0.8689015242639706,0.8686818326209271,0.0012362006664101044,2,572,0.2674176999717019,
ninguna,lopo,logreg,p2,0.9076923076923076,0.8965811965811966,0.906942068749043,0.9076624946747653,0.0,2,585,0.2686509000195656,
ninguna,lopo,logreg,p3,0.9302721088435374,0.9319727891156463,0.9300388802818848,0.92919748106823,0.0,2,588,0.2507194499776233,
ninguna,lopo,logreg,p4,0.9482470784641068,0.9507512520868113,0.9482996632996633,0.9481547699641242,0.002360957533177111,2,599,0.35294929999508895,
ninguna,lopo,logreg,p5,0.8824531516183987,0.9028960817717206,0.8816863390458896,0.8799118412475462,0.0,2,587,0.2404630499950144,
ninguna,lopo,mlp,p1,0.8583916083916083,0.8575174825174825,0.8574286559891473,0.8576474510546757,0.004944802665640143,2,572,200.89572095003678,51.0
ninguna,lopo,mlp,p2,0.9564102564102566,0.9316239316239316,0.9552669552669553,0.9555501405944262,0.003626188621469344,2,585,334.24698849997367,84.5
ninguna,lopo,mlp,p3,0.945578231292517,0.9413265306122449,0.945346075949905,0.9445205249494564,0.00962050042430682,2,588,288.079753649974,72.5
ninguna,lopo,mlp,p4,0.9782971619365608,0.9707846410684474,0.9782659932659934,0.9781355030889278,0.0,2,599,231.30990189997829,58.0
ninguna,lopo,mlp,p5,0.8705281090289608,0.858603066439523,0.8699018272613779,0.8634852965694937,0.009636889692491286,2,587,260.8519924999855,66.0
ninguna,lopo,svm,p1,0.8295454545454546,0.8295454545454546,0.8286568112755053,0.82737529360367,0.008653404664870338,2,572,1.5943547500064597,
ninguna,lopo,svm,p2,0.9085470085470086,0.9059829059829059,0.9067897551673503,0.9060734366693521,0.0060436477024489845,2,585,1.789772099989932,
ninguna,lopo,svm,p3,0.9277210884353742,0.923469387755102,0.9276177618813848,0.9260821180700187,0.010823062977345126,2,588,1.8776405500248075,
ninguna,lopo,svm,p4,0.971619365609349,0.9257095158597662,0.9715909090909092,0.9714779287889048,0.002360957533177111,2,599,1.8658979999891019,
ninguna,lopo,svm,p5,0.8126064735945485,0.7632027257240205,0.8104518026709038,0.8034892397499508,0.0024092224231228214,2,587,1.8223708999576047,
