modelo,normalizacion,accuracy,accuracy_espejado,caida_pp
mlp,muneca_escala_rot,0.961045549939086,0.962499964830181,-0.14544148910949906
cnn_baseline,muneca_escala_rot,0.9578014768763221,0.9591941977707801,-0.1392720894457966
svm,muneca_escala_rot,0.9463193897739671,0.9501449597044287,-0.382556993046157
logreg,ninguna,0.9076839782747191,0.9081185855893967,-0.043460731467759306
