modelo,normalizacion,temporal,lopo,brecha_temporal_menos_lopo_pp
cnn_baseline,muneca_escala_rot,0.9426727410782081,0.9578914673969219,-1.5218726318713793
mlp,muneca_escala_rot,0.9552012148823082,0.961853082170643,-0.6651867288334778
svm,muneca_escala_rot,0.929384965831435,0.9473663161254755,-1.7981350294040466
random_forest,muneca_escala_rot,0.9255884586180714,0.934214960515402,-0.8626501897330607
knn,muneca_escala_rot,0.9043280182232346,0.9103857221406753,-0.6057703917440649
logreg,muneca_escala,0.928246013667426,0.9215257170542305,0.6720296613195509
