modelo,normalizacion,accuracy,accuracy_espejado,caida_pp
mlp,muneca_escala_rot,0.961853082170643,0.9640367103276202,-0.21836281569771465
cnn_baseline,muneca_escala_rot,0.9578914673969219,0.9596326335233355,-0.1741166126413618
svm,muneca_escala_rot,0.9473663161254755,0.9482161243185478,-0.08498081930723433
random_forest,muneca_escala_rot,0.934214960515402,0.9440194598253683,-0.9804499309966297
logreg,muneca_escala,0.9215257170542305,0.9146625534802553,0.6863163573975206
knn,muneca_escala_rot,0.9103857221406753,0.9032543426289512,0.7131379511724045
