normalizacion,protocolo,modelo,pliegue,accuracy,accuracy_espejado,balanced_accuracy,f1_macro,accuracy_std_sem,n_semillas,n_test,tiempo,epocas
muneca,lopo,cnn_baseline,p1,0.9172494172494172,0.9120046620046619,0.917294841207363,0.9166344214332832,0.00807482893971502,3,572,55.75037849999111,46.666666666666664
muneca,lopo,cnn_baseline,p2,0.9669515669515669,0.9498575498575499,0.9661542570759161,0.9665780513672905,0.004301899963117162,3,585,53.18487449999278,44.666666666666664
muneca,lopo,cnn_baseline,p3,0.9512471655328799,0.9506802721088436,0.950952483669715,0.9501780567636718,0.002597832026618936,3,588,63.990997533333335,53.666666666666664
muneca,lopo,cnn_baseline,p4,0.9526989426822482,0.9499165275459097,0.9527160493827161,0.9525210513337649,0.0025501255954122697,3,599,41.996468766670056,35.666666666666664
muneca,lopo,cnn_baseline,p5,0.9505962521294719,0.9426462237365133,0.9498460888535796,0.9502557607505784,0.00948511816495752,3,587,52.984323966666125,44.333333333333336
muneca,lopo,knn,p1,0.6433566433566433,0.6486013986013986,0.6409813410969748,0.6311554928928832,,1,572,0.0118755000294186,
muneca,lopo,knn,p2,0.7623931623931623,0.7299145299145299,0.7612768470718967,0.7561709557512417,,1,585,0.0047435000305995,
muneca,lopo,knn,p3,0.8554421768707483,0.8809523809523809,0.8557057212138214,0.8526128704274791,,1,588,0.0048223999910987,
muneca,lopo,knn,p4,0.8881469115191987,0.8397328881469115,0.8882323232323232,0.8878757474139692,,1,599,0.0060498000239022,
muneca,lopo,knn,p5,0.686541737649063,0.666098807495741,0.6881598759126849,0.6622655012607392,,1,587,0.0050075000035576,
muneca,lopo,logreg,p1,0.8688811188811189,0.8531468531468531,0.8678842046334552,0.8680022448420722,,1,572,0.3662535999901593,
muneca,lopo,logreg,p2,0.905982905982906,0.905982905982906,0.9052676876563998,0.905901407238773,,1,585,0.337123499950394,
muneca,lopo,logreg,p3,0.935374149659864,0.9370748299319728,0.935158808082225,0.933963269563062,,1,588,0.4155037999735214,
muneca,lopo,logreg,p4,0.9432387312186978,0.9432387312186978,0.9432996632996632,0.9429591269509312,,1,599,1.0470012000296265,
muneca,lopo,logreg,p5,0.9011925042589438,0.9216354344122658,0.9002216925812432,0.8989847994283787,,1,587,0.2318293999996967,
muneca,lopo,mlp,p1,0.8962703962703963,0.8857808857808859,0.8959649794315668,0.8958986921996708,0.010681994626936727,3,572,60.17825616665262,56.0
muneca,lopo,mlp,p2,0.9584045584045584,0.9606837606837607,0.9576015808734705,0.957853362757743,0.001973847074152688,3,585,97.39165493331772,91.0
muneca,lopo,mlp,p3,0.9501133786848074,0.949546485260771,0.9498301492140472,0.9490562278077618,0.0025978320266190507,3,588,93.95270399999572,87.66666666666667
muneca,lopo,mlp,p4,0.9710628825820812,0.9749582637729549,0.971043771043771,0.9709448145257125,0.004201354721909021,3,599,82.91522543334092,78.66666666666667
muneca,lopo,mlp,p5,0.9443498012492902,0.9500283929585462,0.9432318818648406,0.9430731407939782,0.0064496403700173835,3,587,57.63782643336648,53.666666666666664
muneca,lopo,random_forest,p1,0.752913752913753,0.7564102564102564,0.7516467602128678,0.7425387674234893,0.009940980250135139,3,572,4.772142533309913,
muneca,lopo,random_forest,p2,0.8170940170940172,0.7441595441595442,0.8160349293931253,0.8180052974932579,0.006163335513613635,3,585,4.934168599992215,
muneca,lopo,random_forest,p3,0.9336734693877551,0.9331065759637189,0.9334055400771158,0.9324560410140257,0.005102040816326481,3,588,4.4024984333276125,
muneca,lopo,random_forest,p4,0.897607122982749,0.8998330550918198,0.8975701459034792,0.8956834824521209,0.0009638568767773267,3,599,4.4763868666486815,
muneca,lopo,random_forest,p5,0.8001135718341851,0.7921635434412265,0.8005455302084515,0.7895839732070878,0.003546279385802636,3,587,4.838131366666251,
muneca,lopo,svm,p1,0.8741258741258742,0.87995337995338,0.873585735118151,0.8740986430296619,0.0,3,572,0.9599577666570743,
muneca,lopo,svm,p2,0.8301994301994302,0.8245014245014245,0.8294538487362376,0.8371943786215126,0.000986923537076288,3,585,2.2054223666588464,
muneca,lopo,svm,p3,0.9370748299319729,0.9382086167800453,0.9369233029738675,0.9355830718782903,0.004499577059633684,3,588,0.9813255333380463,
muneca,lopo,svm,p4,0.9465776293823037,0.9393433500278242,0.9465993265993266,0.9463597573918611,0.0,3,599,1.028546833336198,
muneca,lopo,svm,p5,0.9204997160704146,0.892106757524134,0.9210724599301378,0.9192263621906799,0.0009835609355871135,3,587,1.096121266678286,
muneca,temporal,cnn_baseline,unico,0.9339407744874714,0.9343204252088079,0.9334425821496902,0.9334603859825528,0.003013384181166941,3,878,39.548580900009256,38.0
muneca,temporal,knn,unico,0.8496583143507973,0.784738041002278,0.8486714498647167,0.8501097683373056,,1,878,0.0091187000507488,
muneca,temporal,logreg,unico,0.9259681093394078,0.9111617312072892,0.9251973141240318,0.9254284340746852,,1,878,0.3840057000052184,
muneca,temporal,mlp,unico,0.9419134396355354,0.9400151860288535,0.9414260434367705,0.9414683723339304,0.003416856492027387,3,878,102.22318026665987,109.66666666666667
muneca,temporal,random_forest,unico,0.8785117691723614,0.8428246013667425,0.8779417550466952,0.8782515862403323,0.001739778168168478,3,878,3.8974844666663557,
muneca,temporal,svm,unico,0.9119210326499622,0.9286256643887624,0.9117210134586973,0.911443956286773,0.001739778168168563,3,878,0.8817467333477301,
muneca_escala,lopo,cnn_baseline,p1,0.921911421911422,0.9224941724941725,0.9218932570038713,0.9217066319351633,0.0036392762228428907,3,572,37.47940343335116,31.333333333333332
muneca_escala,lopo,cnn_baseline,p2,0.9612535612535612,0.9652421652421652,0.9604881268245323,0.9603554797107519,0.006471690422564265,3,585,46.26874873333145,38.666666666666664
muneca_escala,lopo,cnn_baseline,p3,0.9552154195011338,0.9529478458049887,0.9549101010809405,0.9543054832167711,0.0009818882129074638,3,588,54.98631586666064,46.0
muneca_escala,lopo,cnn_baseline,p4,0.9499165275459097,0.9565943238731219,0.9499551066217732,0.9497055221877851,0.005783141260664008,3,599,40.45482966668593,34.333333333333336
muneca_escala,lopo,cnn_baseline,p5,0.9511641113003974,0.9500283929585462,0.9499028361013381,0.9504612592677631,0.007681856478403623,3,587,42.317125333337266,35.333333333333336
muneca_escala,lopo,knn,p1,0.8164335664335665,0.8461538461538461,0.8150878701493212,0.8158812681824107,,1,572,0.0086602999945171,
muneca_escala,lopo,knn,p2,0.8752136752136752,0.8615384615384616,0.8735977741393676,0.8706233701347639,,1,585,0.0078280000016093,
muneca_escala,lopo,knn,p3,0.9132653061224488,0.923469387755102,0.9132561076080958,0.9119155443247016,,1,588,0.0194380999892018,
muneca_escala,lopo,knn,p4,0.9432387312186978,0.9565943238731218,0.9432659932659933,0.9430279404553852,,1,599,0.008768199943006,
muneca_escala,lopo,knn,p5,0.8517887563884157,0.8534923339011925,0.8513625014186812,0.8514579431797857,,1,587,0.0043109999969601,
muneca_escala,lopo,logreg,p1,0.8898601398601399,0.8688811188811189,0.889095853035014,0.8884058914027677,,1,572,0.260472199996002,
muneca_escala,lopo,logreg,p2,0.8957264957264958,0.8837606837606837,0.8949158027499041,0.8954398034773963,,1,585,0.3071304999757558,
muneca_escala,lopo,logreg,p3,0.9421768707482994,0.9472789115646258,0.9419275261911492,0.9407586932949216,,1,588,0.3313493999885395,
muneca_escala,lopo,logreg,p4,0.959933222036728,0.9432387312186978,0.9599663299663298,0.9598955430978758,,1,599,0.2406880000489764,
muneca_escala,lopo,logreg,p5,0.919931856899489,0.93015332197615,0.9189125335754548,0.9179195529330167,,1,587,0.3200211999937892,
muneca_escala,lopo,mlp,p1,0.9254079254079256,0.8945221445221444,0.9252224391223601,0.9251239023949235,0.013352493283670937,3,572,57.46298630000092,53.333333333333336
muneca_escala,lopo,mlp,p2,0.9646723646723646,0.9698005698005697,0.9640450293292075,0.9641917429072243,0.004301899963117208,3,585,80.48498703333705,75.33333333333333
muneca_escala,lopo,mlp,p3,0.9512471655328799,0.9518140589569161,0.9509237310808248,0.9499925211649423,0.0019637764258150637,3,588,80.89796193332101,75.33333333333333
muneca_escala,lopo,mlp,p4,0.9616026711185309,0.9705063995548135,0.9616049382716049,0.9614937521994921,0.0033388981636059967,3,599,61.27933870001774,57.666666666666664
muneca_escala,lopo,mlp,p5,0.9545712663259511,0.946053378762067,0.9537112069509074,0.9538600592121446,0.002602257634841421,3,587,63.59517486667028,59.333333333333336
muneca_escala,lopo,random_forest,p1,0.861888111888112,0.8630536130536131,0.8615466862316062,0.8606319260157758,0.0017482517482517723,3,572,4.999778633355163,
muneca_escala,lopo,random_forest,p2,0.923076923076923,0.9207977207977209,0.9210125410895044,0.9210937896831951,0.0017094017094017588,3,585,5.412935666662331,
muneca_escala,lopo,random_forest,p3,0.949546485260771,0.9467120181405896,0.9491590035993571,0.9481961852365596,0.0009818882129075518,3,588,5.401745099981781,
muneca_escala,lopo,random_forest,p4,0.9282136894824706,0.9482470784641069,0.92827721661055,0.9274723322433989,0.0016694490818029845,3,599,5.213389466652491,
muneca_escala,lopo,random_forest,p5,0.8693923906871096,0.8608745031232253,0.869223823755659,0.867705774790394,0.005476235525833596,3,587,5.309489366656635,
muneca_escala,lopo,svm,p1,0.9026806526806528,0.8997668997668997,0.9024823675283081,0.9025349618880879,0.002018707234928901,3,572,0.8346157333386751,
muneca_escala,lopo,svm,p2,0.9566951566951567,0.9629629629629629,0.9556173993885998,0.9556462030959882,0.0009869235370762318,3,585,0.9659482333421087,
muneca_escala,lopo,svm,p3,0.9506802721088436,0.9455782312925173,0.9503281995918226,0.9496111561819239,0.0,3,588,1.0634815000036422,
muneca_escala,lopo,svm,p4,0.9471341124095716,0.9616026711185309,0.9471548821548822,0.9469530963561815,0.0009638568767773506,3,599,0.9346394666742223,
muneca_escala,lopo,svm,p5,0.9437819420783645,0.938671209540034,0.9424815571444785,0.9428382320181892,0.0,3,587,0.964003266650252,
muneca_escala,temporal,cnn_baseline,unico,0.9392558845861806,0.9369779802581624,0.938697712003926,0.9389380897607426,0.0028663000893207695,3,878,36.19049203335695,34.666666666666664
muneca_escala,temporal,knn,unico,0.9191343963553532,0.8917995444191344,0.9184618790245028,0.9183644213650378,,1,878,0.0065061000059358,
muneca_escala,temporal,logreg,unico,0.928246013667426,0.908883826879271,0.927361636720009,0.9274403748687042,,1,878,0.2920389999635517,
muneca_escala,temporal,mlp,unico,0.9438116932422173,0.9430523917995445,0.9431301360346714,0.9431579218158888,0.0036612189677269814,3,878,66.91850336670177,71.66666666666667
muneca_escala,temporal,random_forest,unico,0.9126803340926348,0.9069855732725891,0.9123566460937304,0.9120110277462335,0.004312003299772369,3,878,4.403579133349315,
muneca_escala,temporal,svm,unico,0.9381169324221715,0.9343204252088079,0.9372039958576703,0.9371122508770084,0.0006575743384848789,3,878,0.7838922333127508,
muneca_escala_rot,lopo,cnn_baseline,p1,0.9434731934731935,0.9504662004662005,0.9431966312399936,0.9434053311468702,0.009628619837912727,3,572,38.296257733309176,32.0
muneca_escala_rot,lopo,cnn_baseline,p2,0.968091168091168,0.9754985754985754,0.9673801483902519,0.9675948650955223,0.009720069577909964,3,585,46.24244616667662,38.666666666666664
