real,predicha,n,pct_de_la_clase_real
rock,thumbsup,34,2.3859649122807016
scissors,thumbsup,29,1.9727891156462585
thumbsup,rock,29,1.9607843137254901
ok,paper,28,1.9243986254295533
scissors,paper,25,1.7006802721088434
ok,scissors,22,1.5120274914089347
scissors,ok,19,1.2925170068027212
rockandroll,rock,15,1.0121457489878543
rock,ok,14,0.9824561403508771
scissors,rock,14,0.9523809523809523
