real,predicha,n,pct_de_la_clase_real
scissors,rock,104,7.074829931972789
scissors,thumbsup,101,6.870748299319728
ok,paper,88,6.048109965635739
paper,ok,87,5.870445344129554
rockandroll,thumbsup,65,4.385964912280702
rock,ok,38,2.6666666666666665
rock,thumbsup,38,2.6666666666666665
rock,scissors,27,1.894736842105263
thumbsup,rock,26,1.7579445571331982
ok,rockandroll,24,1.6494845360824741
