clase,precision,recall,f1,soporte
ok,0.9563409563409564,0.9484536082474226,0.9523809523809523,970
paper,0.9577603143418467,0.9868421052631579,0.9720837487537388,988
rock,0.9552083333333333,0.9652631578947368,0.9602094240837696,950
rockandroll,0.9776422764227642,0.9736842105263158,0.9756592292089249,988
scissors,0.9615384615384616,0.9438775510204082,0.952626158599382,980
thumbsup,0.9815573770491803,0.9716024340770791,0.9765545361875637,986
