real,predicha,n,pct_de_la_clase_real
thumbsup,rock,50,3.3806626098715347
paper,ok,44,2.968960863697706
rock,thumbsup,29,2.0350877192982457
ok,paper,29,1.993127147766323
scissors,paper,27,1.836734693877551
ok,rock,17,1.168384879725086
scissors,thumbsup,15,1.0204081632653061
rockandroll,rock,15,1.0121457489878543
scissors,rock,14,0.9523809523809523
rock,paper,13,0.9122807017543859
