modelo,normalizacion,accuracy,accuracy_espejado,caida_pp
mlp,muneca_escala_rot,0.9590001203618327,0.9590001203618327,0.0
cnn_baseline,muneca_escala_rot,0.9589268510981344,0.9589268510981344,0.0
svm,muneca_escala_rot,0.946986715229686,0.9476863056023179,-0.06995903726318975
logreg,muneca_escala_rot,0.9266387526789812,0.9273207690752834,-0.06820163963021653
