normalizacion,protocolo,modelo,accuracy,accuracy_espejado,accuracy_std_pliegues,accuracy_min,balanced_accuracy,f1_macro,accuracy_std_semillas,n_pliegues,n_semillas,n_test,tiempo_entrenamiento_s,epocas,ic95_repo,dispersion
muneca_escala,lopo,cnn_baseline,0.9458381642377237,0.9458381642377237,0.012761643097030487,0.923076923076923,0.9454066286790301,0.9450407914447684,0.00730947747678685,5,3,2931,36.66374687333203,30.46666666666666,0.008194137870922711,0.012761643097030487
muneca_escala,lopo,mlp,0.9481226227812755,0.9481226227812755,0.020174673903472475,0.9236596736596736,0.947719385459774,0.9474705347499119,0.006611205530436086,5,3,2931,52.61338736667143,48.93333333333334,0.008029147243528937,0.020174673903472475
muneca_escala,lopo,svm,0.9464111137285866,0.9464111137285866,0.019167611898140396,0.9166666666666666,0.946136076770941,0.9459807333549989,0.0007401287079547271,5,3,2931,0.37945582667210453,,0.00815315020844332,0.019167611898140396
muneca_escala,lopo,logreg,0.922819448285734,0.922819448285734,0.050110917285185526,0.8512820512820513,0.9222576558136918,0.9219784038571721,,5,1,2931,0.1754239000030793,,0.009661854005285577,0.050110917285185526
muneca_escala_rot,lopo,cnn_baseline,0.9589268510981344,0.9589268510981344,0.022980704346954723,0.9294871794871794,0.9586938448446555,0.9587376102604299,0.004943126284755232,5,3,2931,37.105824119997365,32.13333333333333,0.007184886330858991,0.022980704346954723
muneca_escala_rot,lopo,mlp,0.9590001203618327,0.9590001203618327,0.02670303900712582,0.921911421911422,0.9586583090451309,0.958727424569911,0.00931422986800359,5,3,2931,51.00229270667769,49.333333333333336,0.007178749249166825,0.02670303900712582
muneca_escala_rot,lopo,svm,0.946986715229686,0.9476863056023179,0.024772143654271595,0.9239068710959684,0.9464733581659981,0.9466193186787717,0.0017814817429836417,5,3,2931,0.2351354800009479,,0.008111710873526195,0.024772143654271595
muneca_escala_rot,lopo,logreg,0.9266387526789812,0.9273207690752834,0.03229865449053202,0.8811188811188811,0.9255560094497328,0.9256960936302698,,5,1,2931,0.1474069400108419,,0.009439233836124779,0.03229865449053202
